time,seconds_elapsed,z,y,x
1737750704214828500,0.14182861328125,-0.204345703125,-0.570709228515625,-0.7918853759765625
1737750704224896800,0.151896728515625,-0.207489013671875,-0.567596435546875,-0.7949676513671875
1737750704234964700,0.16196484375,-0.2086029052734375,-0.562225341796875,-0.7975616455078125
1737750704245032400,0.172032470703125,-0.2086334228515625,-0.556671142578125,-0.7915496826171875
1737750704255100400,0.182100341796875,-0.206756591796875,-0.5548553466796875,-0.789306640625
1737750704265168600,0.192168701171875,-0.2069854736328125,-0.55712890625,-0.787506103515625
1737750704275237600,0.202237548828125,-0.2063751220703125,-0.5625152587890625,-0.7868499755859375
1737750704285305600,0.2123056640625,-0.2059173583984375,-0.5670166015625,-0.7943115234375
1737750704295373600,0.22237353515625,-0.21014404296875,-0.56402587890625,-0.8010406494140625
1737750704305441500,0.232441650390625,-0.2110595703125,-0.5600433349609375,-0.7977142333984375
1737750704315509500,0.242509521484375,-0.210693359375,-0.5612640380859375,-0.7960205078125
1737750704325577500,0.252577392578125,-0.208831787109375,-0.566009521484375,-0.7952880859375
1737750704335645700,0.262645751953125,-0.2093963623046875,-0.5709381103515625,-0.7944793701171875
1737750704345713700,0.272713623046875,-0.211395263671875,-0.572662353515625,-0.7957916259765625
1737750704355781600,0.28278173828125,-0.2091217041015625,-0.5717620849609375,-0.8040771484375
1737750704365849600,0.292849609375,-0.2092132568359375,-0.56597900390625,-0.80340576171875
1737750704375917600,0.30291748046875,-0.208404541015625,-0.5621337890625,-0.80047607421875
1737750704385985500,0.312985595703125,-0.2072906494140625,-0.5665435791015625,-0.8006591796875
1737750704396053500,0.323053466796875,-0.203216552734375,-0.5721282958984375,-0.8039703369140625
1737750704406121500,0.33312158203125,-0.200531005859375,-0.57159423828125,-0.7994384765625
1737750704416189700,0.343189697265625,-0.199676513671875,-0.5663909912109375,-0.79193115234375
1737750704426257700,0.353257568359375,-0.19873046875,-0.564117431640625,-0.7880706787109375
1737750704436325600,0.36332568359375,-0.2006378173828125,-0.566925048828125,-0.79058837890625
1737750704446393600,0.3733935546875,-0.1999359130859375,-0.56817626953125,-0.7929840087890625
1737750704456461600,0.383461669921875,-0.200958251953125,-0.5662078857421875,-0.7961273193359375
1737750704466529500,0.393529541015625,-0.203582763671875,-0.561859130859375,-0.7972259521484375
1737750704476597500,0.403597412109375,-0.2076263427734375,-0.5607452392578125,-0.79229736328125
1737750704486665500,0.41366552734375,-0.2117919921875,-0.5662384033203125,-0.789642333984375
1737750704496733700,0.423733642578125,-0.210601806640625,-0.5750885009765625,-0.7940673828125
1737750704506801700,0.4338017578125,-0.2089996337890625,-0.5781707763671875,-0.794647216796875
1737750704516869600,0.44386962890625,-0.210235595703125,-0.5767822265625,-0.7965850830078125
1737750704526937600,0.4539375,-0.206634521484375,-0.5755767822265625,-0.801300048828125
1737750704537005600,0.464005615234375,-0.2030487060546875,-0.5720977783203125,-0.803192138671875
1737750704547073500,0.474073486328125,-0.201873779296875,-0.5644073486328125,-0.800567626953125
1737750704557141500,0.4841416015625,-0.2030181884765625,-0.55804443359375,-0.7996826171875
1737750704567209500,0.49420947265625,-0.200714111328125,-0.5573883056640625,-0.79669189453125
1737750704577277700,0.504277587890625,-0.20208740234375,-0.559417724609375,-0.791961669921875
1737750704587345700,0.514345703125,-0.2031707763671875,-0.562347412109375,-0.7887725830078125
1737750704597413600,0.52441357421875,-0.2063140869140625,-0.5640411376953125,-0.786712646484375
1737750704607481600,0.534481689453125,-0.2075347900390625,-0.5658111572265625,-0.783721923828125
1737750704617549600,0.544549560546875,-0.2053375244140625,-0.5675048828125,-0.7872314453125
1737750704627617500,0.554617431640625,-0.205108642578125,-0.56854248046875,-0.7902374267578125
1737750704637685500,0.564685546875,-0.207794189453125,-0.5699310302734375,-0.7934722900390625
1737750704647753500,0.57475341796875,-0.20721435546875,-0.5741729736328125,-0.7969207763671875
1737750704657821400,0.584821533203125,-0.2042999267578125,-0.5771484375,-0.801055908203125
1737750704667889700,0.5948896484375,-0.2027740478515625,-0.5741119384765625,-0.802276611328125
1737750704677957600,0.60495751953125,-0.203643798828125,-0.5688934326171875,-0.7993316650390625
1737750704688025600,0.615025634765625,-0.2056884765625,-0.566009521484375,-0.8010711669921875
1737750704698093300,0.62509326171875,-0.2085723876953125,-0.56427001953125,-0.799163818359375
1737750704708161500,0.63516162109375,-0.2137451171875,-0.56317138671875,-0.797027587890625
1737750704718229500,0.6452294921875,-0.21978759765625,-0.5653228759765625,-0.798126220703125
1737750704728297500,0.65529736328125,-0.2195892333984375,-0.567840576171875,-0.7978057861328125
1737750704738365400,0.665365478515625,-0.219482421875,-0.5701141357421875,-0.7980499267578125
1737750704748433700,0.67543359375,-0.21441650390625,-0.5732421875,-0.8014373779296875
1737750704758501600,0.685501708984375,-0.208282470703125,-0.5725250244140625,-0.802001953125
1737750704768569300,0.6955693359375,-0.201385498046875,-0.5713958740234375,-0.7982025146484375
1737750704778638600,0.705638671875,-0.200653076171875,-0.5651092529296875,-0.7967376708984375
1737750704788706600,0.71570654296875,-0.2001190185546875,-0.5637359619140625,-0.797454833984375
1737750704798774500,0.7257744140625,-0.1966400146484375,-0.566070556640625,-0.7928466796875
1737750704808842500,0.735842529296875,-0.1966094970703125,-0.569915771484375,-0.7928466796875
1737750704818910700,0.74591064453125,-0.199981689453125,-0.5737762451171875,-0.7943115234375
1737750704828978400,0.755978515625,-0.2044830322265625,-0.5753173828125,-0.794158935546875
1737750704839046400,0.76604638671875,-0.206390380859375,-0.57440185546875,-0.789642333984375
1737750704849114400,0.7761142578125,-0.2053985595703125,-0.568939208984375,-0.7861785888671875
1737750704859182600,0.7861826171875,-0.2060089111328125,-0.5644073486328125,-0.78277587890625
1737750704869250600,0.79625048828125,-0.203826904296875,-0.5627288818359375,-0.78204345703125
1737750704879318500,0.806318603515625,-0.1998443603515625,-0.566162109375,-0.7885894775390625
1737750704889386500,0.816386474609375,-0.1933135986328125,-0.5666351318359375,-0.791839599609375
1737750704899454700,0.826454833984375,-0.1904144287109375,-0.5651397705078125,-0.796142578125
1737750704909522400,0.8365224609375,-0.188140869140625,-0.5616302490234375,-0.7995147705078125
1737750704919590400,0.84659033203125,-0.18914794921875,-0.563720703125,-0.7960205078125
1737750704929658400,0.856658447265625,-0.1930694580078125,-0.57196044921875,-0.795379638671875
1737750704939726600,0.8667265625,-0.1967315673828125,-0.57952880859375,-0.7968597412109375
1737750704949794600,0.876794677734375,-0.202972412109375,-0.57989501953125,-0.795135498046875
1737750704959862500,0.886862548828125,-0.2077178955078125,-0.5762786865234375,-0.7926483154296875
1737750704969930500,0.896930419921875,-0.2096405029296875,-0.5762939453125,-0.79736328125
1737750704979998500,0.90699853515625,-0.20989990234375,-0.5792388916015625,-0.800628662109375
1737750704990066400,0.91706640625,-0.209869384765625,-0.5776519775390625,-0.811279296875
1737750705000134400,0.927134521484375,-0.2073516845703125,-0.565704345703125,-0.8059844970703125
1737750705010202400,0.937202392578125,-0.2125244140625,-0.560791015625,-0.7902069091796875
1737750705020270600,0.9472705078125,-0.2180023193359375,-0.57196044921875,-0.7873382568359375
1737750705030338600,0.957338623046875,-0.2198333740234375,-0.5860595703125,-0.7897796630859375
1737750705040406500,0.967406494140625,-0.2218017578125,-0.5889129638671875,-0.789154052734375
1737750705050474500,0.977474609375,-0.22216796875,-0.5787353515625,-0.77972412109375
1737750705060542500,0.98754248046875,-0.2220611572265625,-0.568878173828125,-0.779541015625
1737750705070610400,0.9976103515625,-0.215911865234375,-0.5686492919921875,-0.7847747802734375
1737750705080678400,1.007678466796875,-0.211395263671875,-0.5702972412109375,-0.780914306640625
1737750705090746400,1.017746337890625,-0.213531494140625,-0.5724334716796875,-0.785736083984375
1737750705100814600,1.027814697265625,-0.211151123046875,-0.573272705078125,-0.7948455810546875
1737750705110882600,1.037882568359375,-0.2067413330078125,-0.57037353515625,-0.7921142578125
1737750705120950500,1.047950439453125,-0.2093658447265625,-0.5648651123046875,-0.786285400390625
1737750705131018500,1.0580185546875,-0.2118377685546875,-0.5650634765625,-0.789794921875
1737750705141086500,1.06808642578125,-0.212371826171875,-0.576324462890625,-0.795654296875
1737750705151154400,1.078154541015625,-0.2159271240234375,-0.583343505859375,-0.8040924072265625
1737750705161222400,1.088222412109375,-0.217987060546875,-0.576568603515625,-0.81280517578125
1737750705171290400,1.098290283203125,-0.2164306640625,-0.56695556640625,-0.823699951171875
1737750705181358600,1.108358642578125,-0.2188568115234375,-0.55316162109375,-0.808990478515625
1737750705191426600,1.118426513671875,-0.2256011962890625,-0.5459747314453125,-0.7868194580078125
1737750705201494500,1.12849462890625,-0.231842041015625,-0.558074951171875,-0.7833251953125
1737750705211562800,1.138562744140625,-0.233184814453125,-0.5765838623046875,-0.790130615234375
1737750705221630500,1.14863037109375,-0.2346649169921875,-0.5807342529296875,-0.7845306396484375
1737750705231698400,1.158698486328125,-0.234954833984375,-0.570770263671875,-0.779876708984375
1737750705241766400,1.168766357421875,-0.232177734375,-0.5638427734375,-0.77581787109375
1737750705251834600,1.178834716796875,-0.2278900146484375,-0.5645904541015625,-0.772216796875
1737750705261902600,1.188902587890625,-0.224639892578125,-0.56964111328125,-0.772796630859375
1737750705271970600,1.198970458984375,-0.22540283203125,-0.56976318359375,-0.7678375244140625
1737750705282038500,1.20903857421875,-0.2278289794921875,-0.5628204345703125,-0.7630462646484375
1737750705292106800,1.219106689453125,-0.2273712158203125,-0.557586669921875,-0.7545623779296875
1737750705302174500,1.229174560546875,-0.2201690673828125,-0.565277099609375,-0.7421417236328125
1737750705312242400,1.239242431640625,-0.220245361328125,-0.5944061279296875,-0.7173614501953125
1737750705322310400,1.249310302734375,-0.21575927734375,-0.619873046875,-0.7178497314453125
1737750705332378600,1.259378662109375,-0.1950531005859375,-0.5967254638671875,-0.72357177734375
1737750705342446600,1.269446533203125,-0.1966705322265625,-0.5787811279296875,-0.69964599609375
1737750705352514600,1.2795146484375,-0.191802978515625,-0.5794525146484375,-0.6765594482421875
1737750705362582500,1.28958251953125,-0.1879730224609375,-0.594024658203125,-0.66552734375
1737750705372651500,1.299651611328125,-0.18560791015625,-0.6078948974609375,-0.6502685546875
1737750705382719500,1.309719482421875,-0.18719482421875,-0.614532470703125,-0.626007080078125
1737750705392787500,1.319787353515625,-0.2048492431640625,-0.616943359375,-0.6048736572265625
1737750705402855700,1.329855712890625,-0.2344970703125,-0.61865234375,-0.5922088623046875
1737750705412923600,1.339923583984375,-0.2564544677734375,-0.6114349365234375,-0.5774078369140625
1737750705422991600,1.34999169921875,-0.283294677734375,-0.60760498046875,-0.5689544677734375
1737750705433059300,1.360059326171875,-0.3140106201171875,-0.6088714599609375,-0.59295654296875
1737750705443127600,1.37012744140625,-0.3397369384765625,-0.6079864501953125,-0.620635986328125
1737750705453195500,1.380195556640625,-0.365234375,-0.610321044921875,-0.6319580078125
1737750705463263500,1.390263427734375,-0.3862152099609375,-0.6160888671875,-0.6463775634765625
1737750705473331500,1.40033154296875,-0.3902130126953125,-0.62744140625,-0.67218017578125
1737750705483399700,1.410399658203125,-0.3831939697265625,-0.6380157470703125,-0.6893157958984375
1737750705493467600,1.420467529296875,-0.35113525390625,-0.6452178955078125,-0.69940185546875
1737750705503535600,1.43053564453125,-0.3377838134765625,-0.668365478515625,-0.6975250244140625
1737750705513603300,1.440603271484375,-0.321990966796875,-0.7099761962890625,-0.724945068359375
1737750705523671600,1.450671630859375,-0.2938385009765625,-0.685546875,-0.817169189453125
1737750705533739500,1.460739501953125,-0.266693115234375,-0.639617919921875,-0.82794189453125
1737750705543807500,1.470807373046875,-0.267730712890625,-0.605682373046875,-0.844482421875
1737750705553875500,1.48087548828125,-0.28265380859375,-0.59381103515625,-0.854522705078125
1737750705563943700,1.490943603515625,-0.29583740234375,-0.6049957275390625,-0.8377227783203125
1737750705574011600,1.50101171875,-0.3189239501953125,-0.628326416015625,-0.82293701171875
1737750705584079600,1.51107958984375,-0.34765625,-0.63775634765625,-0.801300048828125
1737750705594147300,1.521147216796875,-0.3763427734375,-0.62701416015625,-0.772552490234375
1737750705604215600,1.531215576171875,-0.3990936279296875,-0.615203857421875,-0.736236572265625
1737750705614283500,1.541283447265625,-0.4054718017578125,-0.6215667724609375,-0.7142486572265625
1737750705624351500,1.5513515625,-0.4036712646484375,-0.6505889892578125,-0.704559326171875
1737750705634419500,1.56141943359375,-0.3969573974609375,-0.684173583984375,-0.702911376953125
1737750705644488200,1.57148828125,-0.39056396484375,-0.7042083740234375,-0.7078094482421875
1737750705654556200,1.58155615234375,-0.3694305419921875,-0.695037841796875,-0.6914825439453125
1737750705664624000,1.5916240234375,-0.3487091064453125,-0.6555328369140625,-0.6993865966796875
1737750705674692000,1.601692138671875,-0.3348846435546875,-0.62530517578125,-0.7280731201171875
1737750705684760000,1.611760009765625,-0.3046417236328125,-0.6113433837890625,-0.7227630615234375
1737750705694828000,1.621828125,-0.2876434326171875,-0.61346435546875,-0.74090576171875
1737750705704896300,1.631896240234375,-0.26348876953125,-0.6224212646484375,-0.7675323486328125
1737750705714964200,1.641964111328125,-0.24530029296875,-0.6238250732421875,-0.7731170654296875
1737750705725032200,1.6520322265625,-0.2375335693359375,-0.62457275390625,-0.7586822509765625
1737750705735100000,1.662099853515625,-0.225433349609375,-0.622344970703125,-0.7440032958984375
1737750705745168100,1.672168212890625,-0.2267303466796875,-0.6273345947265625,-0.7315826416015625
1737750705755236000,1.682236083984375,-0.229949951171875,-0.6503448486328125,-0.7187347412109375
1737750705765304000,1.692303955078125,-0.2286834716796875,-0.6893768310546875,-0.7158203125
1737750705775372000,1.7023720703125,-0.23095703125,-0.7234344482421875,-0.7011566162109375
1737750705785440300,1.712440185546875,-0.24188232421875,-0.7386932373046875,-0.680755615234375
1737750705795508200,1.72250830078125,-0.2474822998046875,-0.754058837890625,-0.67388916015625
1737750705805576200,1.732576171875,-0.2431640625,-0.763458251953125,-0.670440673828125
1737750705815644000,1.742643798828125,-0.2479095458984375,-0.7621612548828125,-0.6571807861328125
1737750705825712000,1.752712158203125,-0.2451019287109375,-0.753814697265625,-0.6577911376953125
1737750705835780000,1.762780029296875,-0.24456787109375,-0.7611236572265625,-0.66650390625
1737750705845848000,1.77284814453125,-0.241485595703125,-0.7929840087890625,-0.6937713623046875
1737750705855916000,1.782916015625,-0.23577880859375,-0.841033935546875,-0.7024383544921875
1737750705865984300,1.792984375,-0.2296600341796875,-0.87774658203125,-0.6929779052734375
1737750705876052200,1.80305224609375,-0.2268829345703125,-0.8948822021484375,-0.6872406005859375
1737750705886120200,1.8131201171875,-0.2247314453125,-0.895050048828125,-0.6731719970703125
1737750705896188000,1.82318798828125,-0.2216339111328125,-0.874786376953125,-0.6496734619140625
1737750705906256100,1.833256103515625,-0.220703125,-0.842132568359375,-0.6168670654296875
1737750705916324000,1.843323974609375,-0.212738037109375,-0.819854736328125,-0.6075439453125
1737750705926392000,1.85339208984375,-0.203033447265625,-0.819122314453125,-0.61859130859375
1737750705936460000,1.8634599609375,-0.180572509765625,-0.82281494140625,-0.62713623046875
1737750705946528300,1.8735283203125,-0.146087646484375,-0.8133697509765625,-0.6533050537109375
1737750705956596200,1.88359619140625,-0.1285247802734375,-0.798065185546875,-0.698394775390625
1737750705966664200,1.893664306640625,-0.1090087890625,-0.78631591796875,-0.736236572265625
1737750705976732000,1.90373193359375,-0.094818115234375,-0.7885894775390625,-0.7510528564453125
1737750705986800000,1.913800048828125,-0.0941619873046875,-0.80242919921875,-0.750823974609375
1737750705996868000,1.9238681640625,-0.094940185546875,-0.8094635009765625,-0.732666015625
1737750706006936000,1.93393603515625,-0.0959014892578125,-0.8097076416015625,-0.6899566650390625
1737750706017004000,1.944004150390625,-0.1019744873046875,-0.8098602294921875,-0.64398193359375
1737750706027072300,1.954072265625,-0.106781005859375,-0.82171630859375,-0.596282958984375
1737750706037140200,1.96414013671875,-0.136016845703125,-0.8452911376953125,-0.5540618896484375
1737750706047208200,1.974208251953125,-0.1718902587890625,-0.85150146484375,-0.5188140869140625
1737750706057276000,1.98427587890625,-0.194732666015625,-0.8312225341796875,-0.4716644287109375
1737750706067344100,1.99434423828125,-0.207672119140625,-0.809173583984375,-0.425018310546875
1737750706077412000,2.004412109375,-0.22174072265625,-0.8035125732421875,-0.3963165283203125
1737750706087480000,2.01447998046875,-0.258453369140625,-0.8267059326171875,-0.38262939453125
