time,seconds_elapsed,z,y,x
1737750410031284200,0.1622841796875,-0.0996856689453125,-0.6582794189453125,-0.740966796875
1737750410041352200,0.172352294921875,-0.1040496826171875,-0.6605682373046875,-0.739593505859375
1737750410051419100,0.182419189453125,-0.1023712158203125,-0.6614837646484375,-0.7376251220703125
1737750410061487000,0.192487060546875,-0.104644775390625,-0.65966796875,-0.7365570068359375
1737750410071555300,0.202555419921875,-0.1055145263671875,-0.6559600830078125,-0.7345733642578125
1737750410081623300,0.212623291015625,-0.108062744140625,-0.6529083251953125,-0.7311553955078125
1737750410091691300,0.222691162109375,-0.110626220703125,-0.65582275390625,-0.7332763671875
1737750410101759200,0.23275927734375,-0.111663818359375,-0.656494140625,-0.734466552734375
1737750410111827500,0.242827392578125,-0.1142730712890625,-0.6508026123046875,-0.7348175048828125
1737750410121895400,0.2528955078125,-0.1145477294921875,-0.6507110595703125,-0.7380218505859375
1737750410131963100,0.262963134765625,-0.1129150390625,-0.6581268310546875,-0.7417755126953125
1737750410142031000,0.273031005859375,-0.1142730712890625,-0.664886474609375,-0.743804931640625
1737750410152099300,0.283099365234375,-0.1132965087890625,-0.6620330810546875,-0.7461090087890625
1737750410162167300,0.293167236328125,-0.1174163818359375,-0.658416748046875,-0.7497711181640625
1737750410172234200,0.303234130859375,-0.11578369140625,-0.653961181640625,-0.7531585693359375
1737750410182302200,0.31330224609375,-0.1109619140625,-0.6549072265625,-0.755096435546875
1737750410192370400,0.323370361328125,-0.1092987060546875,-0.6663055419921875,-0.756011962890625
1737750410202438400,0.3334384765625,-0.1064300537109375,-0.676727294921875,-0.7519073486328125
1737750410212506400,0.34350634765625,-0.102325439453125,-0.6707763671875,-0.744293212890625
1737750410222574300,0.35357421875,-0.1030426025390625,-0.661956787109375,-0.7370452880859375
1737750410232642300,0.363642333984375,-0.1085205078125,-0.661346435546875,-0.736053466796875
1737750410242710300,0.373710205078125,-0.1087188720703125,-0.6650848388671875,-0.7403106689453125
1737750410252778200,0.3837783203125,-0.106109619140625,-0.660125732421875,-0.7433624267578125
1737750410262846200,0.39384619140625,-0.105926513671875,-0.6519775390625,-0.740936279296875
1737750410272914400,0.40391455078125,-0.1111907958984375,-0.64984130859375,-0.73834228515625
1737750410282982400,0.413982421875,-0.109527587890625,-0.6541748046875,-0.7357177734375
1737750410293050400,0.42405029296875,-0.1069183349609375,-0.66033935546875,-0.7307586669921875
1737750410303117300,0.434117431640625,-0.1024322509765625,-0.6634674072265625,-0.727386474609375
1737750410313185300,0.444185302734375,-0.10882568359375,-0.6730804443359375,-0.7364959716796875
1737750410323253500,0.45425341796875,-0.1052398681640625,-0.6727752685546875,-0.7377777099609375
1737750410333321200,0.4643212890625,-0.09320068359375,-0.666473388671875,-0.7357177734375
1737750410343389200,0.47438916015625,-0.1025390625,-0.6649169921875,-0.7418212890625
1737750410353457200,0.48445703125,-0.1056976318359375,-0.66302490234375,-0.7429046630859375
1737750410363525400,0.494525390625,-0.1032562255859375,-0.654144287109375,-0.7289581298828125
1737750410373593300,0.50459326171875,-0.101593017578125,-0.651611328125,-0.720458984375
