SessionID, LoggingTime, TimeSince1970(ms), UID, RecNo, Hertz, Activity, MoveType, Wrist, Side, TimeStamp, DMRoll, DMPitch, DMYaw, DMRotX, DMRotY, DMRotZ, DMGrvX, DMGrvY, DMGrvZ, DMUAccelX, DMUAccelY, DMUAccelZ, DMQuatX, DMQuatY, DMQuatW, DMQuatZ,AccelroX, AceelroY, AceelroZ
20250124-1519,2025-01-24 15:19:38.982,1737749978982,u01, 1,100,movements,el-ex, lt, nd,35686.40857791667, 0.44613662222809974, -0.22116966914606, 0.050368254922369904, 0.03169114142656326, -0.005262850318104029, 0.018349850550293922, 0.4209732413291931, 0.21937094628810883, -0.8801465034484863, -0.014982670545578003, -0.0020400285720825195, 0.007389545440673828, -0.1131277981192977, 0.2170917823892433, 0.9695737101561402,1.214266688180961e-06,0.4059906005859375,0.2173309326171875,-0.8727569580078125
20250124-1519,2025-01-24 15:19:38.981,1737749978981,u01, 2,100,movements,el-ex, lt, nd,35686.39856091667, 0.4462596029736022, -0.22147142271303727, 0.05044936911915545, 0.022307762876152992, -0.0084719592705369, -0.012217911891639233, 0.4210529029369354, 0.21966534852981567, -0.8800349831581116, -0.022493362426757812, 0.004364177584648132, 0.017913401126861572, -0.11328269968876678, 0.2171394351279395, 0.9695449728686717,-6.3105807455017494e-18,0.3971405029296875,0.2145233154296875,-0.876373291015625
20250124-1519,2025-01-24 15:19:39.003,1737749979003,u01, 3,100,movements,el-ex, lt, nd,35686.41859491667, 0.44527285743481837, -0.22010031769064525, 0.05029571206896515, 0.026502925902605057, -0.001791786402463913, 0.033109355717897415, 0.42031365633010864, 0.21832752227783203, -0.8807210326194763, -0.023173153400421143, -0.003804221749305725, 0.004347741603851318, -0.11260210348255029, 0.21670313983738693, 0.9697218774164434,0.000133649699966513,0.3982391357421875,0.2117919921875,-0.8815765380859375
20250124-1519,2025-01-24 15:19:39.005,1737749979005,u01, 4,100,movements,el-ex, lt, nd,35686.42861191667, 0.4448014214942087, -0.2192759793944969, 0.05044002638664503, -0.0014956872910261154, 0.011774888262152672, 0.03866417706012726, 0.4199756979942322, 0.217522993683815, -0.8810812830924988, -0.021736592054367065, -0.005731016397476196, -0.0004953145980834961, -0.11221846699691615, 0.21648645809258701, 0.9698147451589221,0.0003216179545281666,0.39776611328125,0.2063751220703125,-0.88397216796875
20250124-1519,2025-01-24 15:19:39.005,1737749979005,u01, 5,100,movements,el-ex, lt, nd,35686.43862891667, 0.4444336301306518, -0.21943129144182816, 0.05070881385116515, -0.020117856562137604, 0.0232153981924057, 0.03795923665165901, 0.4196370840072632, 0.21767458319664001, -0.881205141544342, -0.02187103033065796, -0.011299476027488708, -0.002767026424407959, -0.11232269260655674, 0.21628924053802298, 0.9698466517822963,0.0004553811791048354,0.3962860107421875,0.2047882080078125,-0.8848724365234375
20250124-1519,2025-01-24 15:19:39.006,1737749979006,u01, 6,100,movements,el-ex, lt, nd,35686.448645916666, 0.4442777472953092, -0.2199053982527768, 0.05101878413219545, -0.028056740760803223, 0.01916765794157982, 0.023666318506002426, 0.41945531964302063, 0.21813729405403137, -0.8811772465705872, -0.023169338703155518, -0.01334911584854126, -0.003695189952850342, -0.11258578272977096, 0.21618465739714643, 0.9698393823659056,0.0005619072923667255,0.40032958984375,0.2136077880859375,-0.8802032470703125
20250124-1519,2025-01-24 15:19:39.010,1737749979010,u01, 7,100,movements,el-ex, lt, nd,35686.458662916666, 0.444280796626159, -0.22055985830707833, 0.05120873183374716, -0.02922198921442032, 0.025225715711712837, 0.007447667419910431, 0.4193965494632721, 0.21877595782279968, -0.8810468912124634, -0.019066989421844482, -0.005168169736862183, 0.0008436441421508789, -0.11292326804196247, 0.21615940607024273, 0.969805729979196,0.0005813109168163135,0.3932342529296875,0.218170166015625,-0.87933349609375
20250124-1519,2025-01-24 15:19:39.021,1737749979021,u01, 8,100,movements,el-ex, lt, nd,35686.46867991667, 0.4442155922618002, -0.22126989253995455, 0.05130603815502168, -0.03068353235721588, 0.036522842943668365, 0.0059136878699064255, 0.419272243976593, 0.21946872770786285, -0.8809337615966797, -0.026038020849227905, -0.0012985765933990479, 0.0016002655029296875, -0.11327761601426592, 0.2161048480672858, 0.9697765766540576,0.0005534944376730317,0.393035888671875,0.2201385498046875,-0.88482666015625
20250124-1519,2025-01-24 15:19:39.030,1737749979030,u01, 9,100,movements,el-ex, lt, nd,35686.47869691667, 0.44423995639215963, -0.22176982430174066, 0.051427768461374423, -0.02019314095377922, 0.02450067177414894, 0.01008979044854641, 0.41924649477005005, 0.2199564427137375, -0.8808243274688721, -0.02621060609817505, 0.00018209218978881836, -0.00400233268737793, -0.11353287317036286, 0.21609745565504307, 0.9697483507963993,0.000555734477171135,0.4036712646484375,0.2210845947265625,-0.8910675048828125
20250124-1519,2025-01-24 15:19:39.041,1737749979041,u01, 10,100,movements,el-ex, lt, nd,35686.48871391667, 0.4441747644527307, -0.22192300195611545, 0.051501976464293636, -0.017073247581720352, 0.012101260013878345, 0.00023076776415109634, 0.41917458176612854, 0.2201058715581894, -0.8808212876319885, -0.015503346920013428, 0.000978708267211914, -0.01024627685546875, -0.11361504296471048, 0.21605784637908676, 0.9697475823582097,0.0005784454129740515,0.4026031494140625,0.2238311767578125,-0.896270751953125
