time,seconds_elapsed,z,y,x
1737750026098084000,0.118083984375,-0.07036790251731873,-0.05260009318590164,0.038714904338121414
1737750026108151800,0.12815185546875,-0.06643122434616089,-0.05144268274307251,0.032160598784685135
1737750026118219800,0.1382197265625,-0.06315020471811295,-0.056418802589178085,0.025983663275837898
1737750026128288000,0.1482880859375,-0.055575378239154816,-0.06992422044277191,0.019208848476409912
1737750026138355000,0.15835498046875,-0.04229845479130745,-0.08173587173223495,0.017103087157011032
1737750026148423000,0.1684228515625,-0.02852565050125122,-0.0834011510014534,0.019960658624768257
1737750026158491000,0.178490966796875,-0.019593674689531326,-0.07335250824689865,0.017099890857934952
1737750026168558800,0.188558837890625,-0.01654116064310074,-0.05535726621747017,0.027045732364058495
1737750026178625800,0.198625732421875,-0.012929913587868214,-0.031554728746414185,0.03706054762005806
1737750026188694000,0.208694091796875,-0.006180131807923317,-0.008986038155853748,0.043831903487443924
1737750026198762000,0.218761962890625,-0.001389104756526649,0.012804478406906128,0.04645271971821785
1737750026208829000,0.228828857421875,0.004372644238173962,0.020507937297225,0.04616083577275276
1737750026218897000,0.23889697265625,0.0025188177824020386,0.01636272855103016,0.03796256333589554
1737750026228965000,0.248965087890625,0.0033902039285749197,-0.0004040015337523073,0.034624554216861725
1737750026239033000,0.259033203125,0.006999852601438761,-0.006863498594611883,0.026004701852798462
1737750026249100000,0.26910009765625,0.007274424657225609,-0.016684703528881073,0.021405955776572227
1737750026259168000,0.27916796875,0.006737264804542065,-0.019814716652035713,0.014613830484449863
1737750026269236000,0.289236083984375,0.009288573637604713,-0.01871669664978981,0.013879063539206982
1737750026279304000,0.299303955078125,0.012659602798521519,-0.013260677456855774,0.008897088468074799
1737750026289371100,0.30937109375,0.010451575741171837,-0.003882622579112649,0.0021840583067387342
1737750026299438800,0.31943896484375,0.010751447640359402,-0.004454136826097965,0.002672215923666954
1737750026309506800,0.3295068359375,0.011779161170125008,0.006223008502274752,0.003712446428835392
1737750026319574800,0.33957470703125,0.009660882875323296,0.01811828278005123,-0.0008506136364303529
1737750026329641700,0.349641845703125,0.005381449591368437,0.028366394340991974,-0.0002825613773893565
1737750026339710000,0.3597099609375,0.0010410296963527799,0.04029708728194237,-0.0035167040769010782
1737750026349778000,0.36977783203125,-0.001282045734114945,0.050993144512176514,-0.008560198359191418
1737750026359846000,0.379845947265625,0.003465305082499981,0.06465063244104385,-0.0099636847153306
1737750026369912800,0.389912841796875,0.00833889003843069,0.07121825218200684,-0.00691889226436615
1737750026379981000,0.39998095703125,0.014357900246977806,0.07770278304815292,-0.008471248671412468
1737750026390049000,0.410049072265625,0.019890351220965385,0.08264721184968948,0.000937166390940547
1737750026400117000,0.420116943359375,0.02478151209652424,0.0779629722237587,0.0009691243176348507
1737750026410184000,0.430183837890625,0.03305355831980705,0.08355161547660828,0.0025867284275591373
1737750026420251600,0.440251708984375,0.03434359282255173,0.09433183073997498,0.012181565165519714
1737750026430319900,0.45031982421875,0.03753059729933739,0.10668782889842987,0.011292601935565472
1737750026440386800,0.46038671875,0.037100762128829956,0.12260394543409348,0.02106666937470436
1737750026450454800,0.470454833984375,0.0382230207324028,0.13469043374061584,0.027117904275655746
1737750026460522800,0.480522705078125,0.03796602413058281,0.14883261919021606,0.03146311640739441
1737750026470590500,0.490590576171875,0.03765150532126427,0.15819735825061798,0.037824343889951706
1737750026480657700,0.50065771484375,0.03927337005734444,0.1600397378206253,0.04536162316799164
1737750026490725600,0.5107255859375,0.035890623927116394,0.1640256941318512,0.05036303773522377
1737750026500793600,0.520793701171875,0.030412767082452774,0.16625049710273743,0.053815294057130814
1737750026510861600,0.530861572265625,0.02647048979997635,0.16266188025474548,0.057245444506406784
1737750026520928500,0.540928466796875,0.016834108158946037,0.15535204112529755,0.058274224400520325
1737750026530996700,0.550996826171875,0.009996973909437656,0.1417296975851059,0.056778326630592346
1737750026541064700,0.561064697265625,0.0032354744616895914,0.131783589720726,0.05306961014866829
1737750026551132700,0.571132568359375,-0.0015241270884871483,0.12312166392803192,0.048584312200546265
1737750026561199600,0.58119970703125,-0.0051534827798604965,0.11043675988912582,0.04013250395655632
1737750026571267600,0.591267578125,-0.009280583821237087,0.1027761772274971,0.028909945860505104
1737750026581335800,0.601335693359375,-0.01149819791316986,0.09950342029333115,0.02106134220957756
1737750026591403800,0.61140380859375,-0.016349412500858307,0.09378588199615479,0.012828713282942772
1737750026601470700,0.621470703125,-0.020173178985714912,0.08718763291835785,0.0014692660188302398
1737750026611538700,0.63153857421875,-0.024412931874394417,0.07822156697511673,0.0020815266761928797
1737750026621606700,0.641606689453125,-0.023201726377010345,0.0665004625916481,-0.008042479865252972
1737750026631675000,0.6516748046875,-0.02365765906870365,0.06245006248354912,-0.017709488049149513
1737750026641741800,0.661741943359375,-0.02646542899310589,0.0654812753200531,-0.028025243431329727
1737750026651809800,0.671809814453125,-0.029276927933096886,0.07265129685401917,-0.031022630631923676
1737750026661877800,0.681877685546875,-0.03092755563557148,0.08927155286073685,-0.034577418118715286
1737750026671945500,0.691945556640625,-0.028988774865865707,0.10406381636857986,-0.030858846381306648
1737750026682012700,0.7020126953125,-0.027121897786855698,0.11096486449241638,-0.02912299707531929
1737750026692080600,0.71208056640625,-0.021034711971879005,0.11713248491287231,-0.02105042338371277
1737750026702148600,0.722148681640625,-0.016262326389551163,0.1253320872783661,-0.0169100072234869
1737750026712216600,0.732216552734375,-0.007302653975784779,0.13356071710586548,-0.008376706391572952
1737750026722283500,0.742283447265625,-0.004460262134671211,0.1397259384393692,-0.0001853560097515583
